"","sample","Sphyrna lewini 1","Stegastes arcifrons 1","Mugil thoburni 1","Mugil cephalus 1","Decapterus genus 1","Hemiramphus lutkei 1","Stegastes beebei 1","Sphoeroides annulatus 1","Sardinops genus 1","Euthynnus affinis 1","Scarus ghobban 1","Anisotremus scapularis 1","Muraena lentiginosa 1","Caranx crysos 1","Lutjanus genus 1","Teleophrys cristulipes 1","Grapsus grapsus 1","Pachygrapsus socius 1","Amphipholis squamata 1","Calappa convexa 1","Thunnus genus 1","Selar crumenophthalmus 1","Fistularia commersonii 1","Semicossyphus pulcher 1","Meiosquilla dawsoni 1","Achelous tuberculatus 1","Palaemon ritteri 1","Microcassiope xantusii 1","Abudefduf","Actinopteri","sample_id","Site.Name","nb_reads","nb_motus","Sample.ID","Date.Collected..MM.DD.YYYY.","Time.Net.Set..or.catch.","Island","Species..common.name.","Species..scientific.name.","Spaghetti.Tag.ID","PIT.Tag.ID","Satellite.Tag.ID","Acoustic.Tag.ID","Sex","Lateral..mm.","Girth..mm.","Proximal..mm.","Fork.Length..mm.","Stretched.Total.Length..mm.","Weight..kg.","Blood..Y.N.","Umbilical.Scar..Y.N.","Recapture.Spaghetti.Tag.ID","Recapture.PIT.Tag.ID","Salinity..ppt.","Tide","Water.Temperature..C.","Method.of.Capture","Associated.Water.Sample.IDs","BRUV.File.Name","Assosiated.DNA.Blood.Sample","Fishing.Notes","Swab.Appearence","Date.Extraction.Started","Time.placed.in.incubator.for.Step.2","Placed.in.feezer.after.step.5...Y.N.","If.placed.in.freezer.what.date.","Date.fully.extracted","DNA.Extraction.Notes","Date.of.1st.PCR","X","X.1","X.2","X.3","X.4","X.5"
"1","order","Carcharhiniformes","Actinopteri class","Mugiliformes","Mugiliformes","Carangiformes","Beloniformes","Actinopteri class","Tetraodontiformes","Clupeiformes","Scombriformes","Labriformes","Lutjaniformes","Anguilliformes","Carangiformes","Lutjaniformes","Decapoda","Decapoda","Decapoda","Amphilepidida","Decapoda","Scombriformes","Carangiformes","Syngnathiformes","Labriformes","Stomatopoda","Decapoda","Decapoda","Decapoda","Perciformes","Actinopteri class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","family","Carcharhinidae","Pomacentridae","Mugilidae","Mugilidae","Carangidae","Hemiramphidae","Pomacentridae","Tetraodontidae","Clupeidae","Scombridae","Labridae","Haemulidae","Muraenidae","Carangidae","Lutjanidae","Mithracidae","Grapsidae","Grapsidae","Amphiuridae","Calappidae","Scombridae","Carangidae","Fistulariidae","Labridae","Squillidae","Portunidae","Palaemonidae","Xanthidae","Pomacentridae","Actinopteri class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","genus","Sphyrna","Stegastes","Mugil","Mugil","Decapterus","Hemiramphus","Stegastes","Sphoeroides","Sardinops","Euthynnus","Scarus","Anisotremus","Muraena","Caranx","Lutjanus","Teleophrys","Grapsus","Pachygrapsus","Amphipholis","Calappa","Thunnus","Selar","Fistularia","Semicossyphus","Meiosquilla","Achelous","Palaemon","Microcassiope","Abudefduf","Actinopteri class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","species","Sphyrna lewini","Stegastes arcifrons","Mugil thoburni","Mugil cephalus","Decapterus genus","Hemiramphus lutkei","Stegastes beebei","Sphoeroides annulatus","Sardinops genus","Euthynnus affinis","Scarus ghobban","Anisotremus scapularis","Muraena lentiginosa","Caranx crysos","Lutjanus genus","Teleophrys cristulipes","Grapsus grapsus","Pachygrapsus socius","Amphipholis squamata","Calappa convexa","Thunnus genus","Selar crumenophthalmus","Fistularia commersonii","Semicossyphus pulcher","Meiosquilla dawsoni","Achelous tuberculatus","Palaemon ritteri","Microcassiope xantusii","Abudefduf genus","Actinopteri class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","con_G15","2","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","con_G15","La Seca",8673,8,"Control_G15","06/14/2021","9:32","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,564,695,NA,"Y",NA,NA,NA,34.8,"Outgoing",23.62,"Seine Net","","","","","None","6/15/21","4:00 PM","Y","6/16/21","6/19/21","Was left in green cooler with no ice for a few hours; DNA extraction tube named ""control outside rub""",NA,NA,NA,NA,NA,NA,NA
"6","con_G31","   3","   0","   0","3401","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","con_G31","La Seca",30069,10,"Control G31","06/15/2021","9:51","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,555,698,NA,"Y",NA,NA,NA,34.91,"",24.65,"Seine Net","GW12","","S31"," ","None","6/15/21","4:00 PM","Y","6/16/21","6/19/21","",NA,NA,NA,NA,NA,NA,NA
"7","con_G43"," 6"," 0"," 2"," 1"," 0"," 0"," 2"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","10"," 0","con_G43","Rosa Blanca 1",40603,10,"Control G43","06/23/2021","6:50","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,554,686,NA,"Y",NA,NA,NA,32.59,"Outgoing",23.33,"Seine Net","","merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2","S43","","None","6/23/21","6:30 PM","N","","6/24/21","",NA,NA,NA,NA,NA,NA,NA
"8","G001","    0","    1","22050"," 1544","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"," 1013","    0","G001","Rosa Blanca 1",24658,32,"G1","06/12/2021","6:58","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,545,694,NA,"Y",NA,NA,NA,NA,"Incoming",NA,"Seine Net","GW1, GW2, GW3, GW4","merged_6/12/21_Rosa Blanca 1_B2C1; merged_6/12/21_Rosa Blanca 1_B2C2","S1",""," ","6/13/21","6:00 PM","N","","6/13/21","Used 96% ethanol from marine ecology lab",NA,NA,NA,NA,NA,NA,NA
"9","G002","    0","    0","    9","    1","    0","14950","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","G002","Rosa Blanca 1",28617,11,"G2","06/12/2021","6:58","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,525,660,NA,"Y",NA,NA,NA,NA,"Incoming",NA,"Seine Net","GW1, GW2, GW3, GW4","merged_6/12/21_Rosa Blanca 1_B2C1; merged_6/12/21_Rosa Blanca 1_B2C2","S2",""," ","6/13/21","6:00 PM","N","","6/13/21","Used 96% ethanol from marine ecology lab",NA,NA,NA,NA,NA,NA,NA
"10","G003","    0","    0","   43","    0","    0","22320","    2","    0","    0","    0","  104","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   76","    0","G003","Rosa Blanca 1",37068,14,"G3","06/12/2021","6:58","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,555,710,NA,"Y",NA,NA,NA,NA,"Incoming",NA,"Seine Net","GW1, GW2, GW3, GW4","merged_6/12/21_Rosa Blanca 1_B2C1; merged_6/12/21_Rosa Blanca 1_B2C2","S3",""," ","6/13/21","6:00 PM","N","","6/13/21","Used 96% ethanol from marine ecology lab",NA,NA,NA,NA,NA,NA,NA
"11","G004","   4","   0","8001","1291","   0","   5","   6","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","G004","Rosa Blanca 1",16412,26,"G4","06/12/2021","6:58","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,537,683,NA,"Y",NA,NA,NA,NA,"Incoming",NA,"Seine Net","GW1, GW2, GW3, GW4","merged_6/12/21_Rosa Blanca 1_B2C1; merged_6/12/21_Rosa Blanca 1_B2C2","S4",""," ","6/13/21","6:00 PM","N","","6/13/21","Partial liquid evaporation after step 2 incubation; Used 96% ethanol from marine ecology lab",NA,NA,NA,NA,NA,NA,NA
"12","G005","   0","   5","   5","   1","   0","9151","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","G005","Rosa Blanca 1",17106,13,"G5","06/12/2021","9:00","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,571,714,NA,"Y",NA,NA,NA,NA,"Incoming",NA,"Gill Net","GW1, GW2, GW3, GW4","merged_6/12/21_Rosa Blanca 1_B2C1; merged_6/12/21_Rosa Blanca 1_B2C2","S5","Haley took this swab and I'm not sure if she went past the sphincter","None","6/13/21","6:00 PM","N","","6/13/21","All liquid evaporated after step 2 so I added 325ul of water to rehydrate; Used 96% ethanol from marine ecology lab",NA,NA,NA,NA,NA,NA,NA
"13","G006","    1","    0","    4","    0","    0","   10","    0","    0","    0","    0","    0","   59","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","22627","    0","G006","Puerto Grande",24830,23,"G6","06/14/2021","6:29","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,550,640,NA,"Y",NA,NA,NA,34.85,"Outgoing",23.29,"Gill Net","","merged_6/14/21_Puerto Grande_B2C1; merged_6/14/21_Puerto Grande_B2C2","S6","","Medium","6/15/21","4:00 PM","Y","6/16/21","6/18/21","",NA,NA,NA,NA,NA,NA,NA
"14","G007","  1","  0","  6","337","  0","  6","  0","  0","  0"," 76","  0"," 22"," 94","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 56","G007","Puerto Grande",7107,11,"G7","06/14/2021","6:29","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,590,730,NA,"Y",NA,NA,NA,34.85,"Outgoing",23.29,"Gill Net","","merged_6/14/21_Puerto Grande_B2C1; merged_6/14/21_Puerto Grande_B2C2","S7","","Alot","6/15/21","4:00 PM","Y","6/16/21","6/18/21","",NA,NA,NA,NA,NA,NA,NA
"15","G008","2","0","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","G008","Puerto Grande",328,8,"G8","06/14/2021","6:29","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,585,720,NA,"Y",NA,NA,NA,34.85,"Outgoing",23.29,"Gill Net","","merged_6/14/21_Puerto Grande_B2C1; merged_6/14/21_Puerto Grande_B2C2","S8","","Medium","6/15/21","4:00 PM","Y","6/16/21","6/19/21","",NA,NA,NA,NA,NA,NA,NA
"16","G009","    1","    3","    3","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","   43","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","25328","    0","G009","Puerto Grande",25622,25,"G9","06/14/2021","6:29","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,550,680,NA,"Y",NA,NA,NA,34.85,"Outgoing",23.29,"Gill Net","","merged_6/14/21_Puerto Grande_B2C1; merged_6/14/21_Puerto Grande_B2C2","S9","","Medium","6/15/21","4:00 PM","Y","6/16/21","6/18/21","",NA,NA,NA,NA,NA,NA,NA
"17","G010","    2","21835","    5","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","G010","Puerto Grande",22308,27,"G10","06/14/2021","6:29","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,540,650,NA,"Y",NA,NA,NA,34.85,"Outgoing",23.29,"Gill Net","","merged_6/14/21_Puerto Grande_B2C1; merged_6/14/21_Puerto Grande_B2C2","S10","","Light","6/15/21","4:00 PM","Y","6/16/21","6/19/21","Mostly evaporated but didn't add water",NA,NA,NA,NA,NA,NA,NA
"18","G011","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","105","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","G011","Puerto Grande",193,6,"G11","06/14/2021","6:29","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,550,670,NA,"Y",NA,NA,NA,34.85,"Outgoing",23.29,"Gill Net","","merged_6/14/21_Puerto Grande_B2C1; merged_6/14/21_Puerto Grande_B2C2","S11","","Medium","6/15/21","4:00 PM","Y","6/16/21","6/19/21","",NA,NA,NA,NA,NA,NA,NA
"19","G012","  4","  1","116"," 55","  0","  0","  9","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","G012","Puerto Grande",24370,12,"G12","06/14/2021","6:29","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,540,690,NA,"Y",NA,NA,NA,34.85,"Outgoing",23.29,"Gill Net","","merged_6/14/21_Puerto Grande_B2C1; merged_6/14/21_Puerto Grande_B2C2","S12","","Light","6/15/21","4:00 PM","Y","6/16/21","6/18/21","",NA,NA,NA,NA,NA,NA,NA
"20","G013","   0","   3","   0","   0","   0","   1","9158","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","G013","Puerto Grande",37703,29,"G13","06/14/2021","6:29","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,550,675,NA,"Y",NA,NA,NA,34.85,"Outgoing",23.29,"Gill Net","","merged_6/14/21_Puerto Grande_B2C1; merged_6/14/21_Puerto Grande_B2C2","S13","","Alot","6/15/21","4:00 PM","Y","6/16/21","6/18/21","",NA,NA,NA,NA,NA,NA,NA
"21","G014","  3","  0","263","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","G014","La Seca",26894,7,"G14","06/14/2021","9:32","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"M",NA,NA,NA,550,678,NA,"Y",NA,NA,NA,34.8,"Outgoing",23.62,"Seine Net","","","S14","","None","6/15/21","4:00 PM","Y","6/16/21","6/18/21","",NA,NA,NA,NA,NA,NA,NA
"22","G015","12"," 3"," 1"," 0"," 0"," 0"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0","G015","La Seca",39162,14,"G15","06/14/2021","9:32","San Cristobal","Blacktip","Carcharhinus limbatus",NA,NA,NA,NA,"F",NA,NA,NA,564,695,NA,"Y",NA,NA,NA,34.8,"Outgoing",23.62,"Seine Net","","","S15","","Light (greenish)","6/15/21","4:00 PM","Y","6/16/21","6/18/21","Dropped swab in tube holder when cutting",NA,NA,NA,NA,NA,NA,NA
