Taxa,G186,G187,G188,G189,G191
Sphyrna lewini,0,0,0,0,0
Stegastes arcifrons,0,0,0,0,0
Mugil thoburni,20,49,0,0,0
Mugil cephalus,0,0,0,0,0
Decapterus,0,0,0,0,0
Hemiramphus lutkei,0,0,0,0,135
Stegastes beebei,0,0,0,0,0
Sphoeroides annulatus,0,0,0,0,0
Sardinops,0,0,0,0,0
Euthynnus affinis,0,0,0,0,0
Scarus ghobban,0,0,12,0,0
Anisotremus scapularis,0,0,0,0,0
Muraena lentiginosa,0,0,0,0,0
Caranx crysos,0,0,0,0,0
Lutjanus,0,0,0,0,0
Teleophrys cristulipes,0,0,0,0,0
Grapsus grapsus,0,0,0,0,0
Pachygrapsus socius,0,0,0,0,0
Amphipholis squamata,0,0,0,0,0
Thunnus,0,0,0,0,0
Selar crumenophthalmus,0,0,0,0,0
Fistularia commersonii,221,0,0,0,0
Semicossyphus pulcher,0,10,35,8,0
Abudefduf,0,0,0,0,0
Actinopteri,0,0,0,0,0
