Taxa,G001,G002,G007,G008,G012,G015,G016,G019,G021,G024,G026,G032,G033,G034,G036,G037,G038,G040,G042,G043,G047,G049,G050,G051,G053,G054,G055,G056,G062,G066,G068,G069,G071,G072,G074,G075,G076,G077,G100,G104,G107,G110,G112,G113,G114,G115,G120,G123,G139,G164,G165,G186,G191
Sphyrna lewini,0,0,1,2,4,12,0,0,0,1,1,0,0,1,2,0,3,2,2,0,5,1,1,0,5,0,1,12,4,3,4,6,5,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stegastes arcifrons,1,0,0,0,1,3,0,0,7,0,5,1,21,0,0,1,0,0,0,0,36638,3,4,0,1,11,0,2,57697,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mugil thoburni,22050,9,6,5,116,1,0,2544,1,0,35437,1,3,9,19538,9,8436,5,375,0,56,3,33676,0,5,28882,27,9,87,3,119,4,735,414,4,3,6,6,56,1,0,6549,1937,2910,3715,29914,10196,0,1615,17,0,20,0
Mugil cephalus,1544,1,337,0,55,0,0,0,0,0,17,0,0,0,0,0,142,0,2157,0,2,0,0,0,0,0,0,1,77,0,0,110,0,0,0,735,0,0,0,0,0,299,0,0,0,0,12100,0,0,1113,124,0,0
Decapterus,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,1,0,0,27594,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemiramphus lutkei,1,14950,6,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
Stegastes beebei,0,0,0,0,9,6,0,12,18649,2,4,1,0,0,2,2,0,0,2,2,4,0,1,4,5,861,0,3,3,2,4,71080,5,57304,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphoeroides annulatus,0,0,0,0,3,0,0,1,7,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sardinops,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euthynnus affinis,0,0,76,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarus ghobban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anisotremus scapularis,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muraena lentiginosa,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caranx crysos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lutjanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teleophrys cristulipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3211,0,0,0,0,0,0,0,0,0,0,0,0,0
Grapsus grapsus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pachygrapsus socius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
