Taxa,G044,G045,G046,G047,G048,G049,G077,G078
Sphyrna lewini,3,0,3,5,1,1,1,0
Stegastes arcifrons,2,3,5,36638,0,3,0,2
Mugil thoburni,3,0,25,56,0,3,6,0
Mugil cephalus,0,0,1,2,0,0,0,0
Decapterus,0,0,0,0,0,5,6,0
Hemiramphus lutkei,0,0,0,0,0,0,0,1
Stegastes beebei,8,6,0,4,0,0,2,3
Sphoeroides annulatus,2,0,0,0,0,0,2,0
Sardinops,0,0,0,0,0,0,0,0
Euthynnus affinis,0,0,0,0,0,0,0,0
Scarus ghobban,0,0,0,0,0,0,0,0
Anisotremus scapularis,0,0,0,0,0,0,0,0
Muraena lentiginosa,0,0,0,0,0,0,0,0
Caranx crysos,0,0,0,0,0,0,0,0
Lutjanus,0,0,0,0,0,0,0,0
Teleophrys cristulipes,0,2284,0,0,0,0,0,0
Grapsus grapsus,0,272,0,0,0,0,0,0
Pachygrapsus socius,0,0,0,0,0,0,0,0
Amphipholis squamata,0,0,0,0,0,0,0,0
Thunnus,0,0,0,0,0,0,0,0
Selar crumenophthalmus,0,0,0,0,0,0,0,0
Fistularia commersonii,0,0,0,0,0,0,0,0
Semicossyphus pulcher,0,0,0,0,0,0,0,0
Abudefduf,2,4,118,42,0,6,0,0
Actinopteri,0,0,0,0,0,0,0,0
