Taxa,G003,G004,G005,G006,G009,G010,G011,G013,G014,G017,G018,G020,G022,G023,G025,G027,G028,G029,G030,G031,G035,G039,G041,G044,G045,G046,G048,G057,G063,G064,G065,G067,G070,G073,G078,G099,G101,G102,G103,G108,G111,G118,G119,G122,G126,G135,G136,G137,G138,G169,G170,G187,G188,G189
Sphyrna lewini,0,4,0,1,1,2,0,0,3,0,1,4,1,8,2,0,3,0,2,9,0,3,0,3,0,3,1,0,3,10,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stegastes arcifrons,0,0,5,0,3,21835,0,3,0,5,2,8849,0,2,29320,2,3,6,1,5,0,2,4,2,3,5,0,1,27,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mugil thoburni,43,8001,5,4,3,5,0,0,263,2,6,1,10,1,3,3,4,6,350,4,1,29743,31,3,0,25,0,1,138,175,0,6,2,0,0,5,9,229,0,0,32,0,250,55,0,0,0,69,0,8,0,49,0,0
Mugil cephalus,0,1291,1,0,0,0,0,0,0,0,0,0,0,414,1,0,0,646,0,0,1,0,0,0,0,1,0,0,0,177,0,70,33,0,0,0,0,0,0,0,7,0,0,0,0,0,0,30,0,1769,0,0,0,0
Decapterus,0,0,0,0,3,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemiramphus lutkei,22320,5,9151,10,0,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stegastes beebei,2,6,2,0,0,0,1,9158,4,2,18163,10,320,16,1,39116,7,3,0,3,23,4,0,8,6,0,0,0,1,5,3,4,11,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphoeroides annulatus,0,3,0,0,0,0,0,0,0,0,0,37167,1,2,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Sardinops,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13649,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euthynnus affinis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarus ghobban,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Anisotremus scapularis,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muraena lentiginosa,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caranx crysos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lutjanus,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teleophrys cristulipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grapsus grapsus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pachygrapsus socius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphipholis squamata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thunnus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selar crumenophthalmus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,2,4,0,0,0,0,0,0
Fistularia commersonii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Semicossyphus pulcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,35,8
Abudefduf,76,3,3,22627,25328,3,1,3,5,7,1,6,7,0,2,0,1,3,2,0,0,0,3,2,4,118,0,3,86,0,0,0,2,0,0,0,0,0,0,8594,0,0,0,0,0,0,0,8129,0,0,0,0,0,0
